INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT
index	商店标识	nMenuIndex	nShopIndex	物品INDEX	物品ITEMID	物品数量	物品价格	物品折扣比	商品特殊标记	颜色显示
#风絮商店工具修改 By:QQ464141564
1	1	1	1	1	20502005	1	10000	100		0
2	1	1	1	2	20501005	1	10000	100		0
3	1	1	1	3	38002553	1	1000000	100		0
4	1	1	1	4	30900048	1	1000000	100		0
5	1	1	1	5	38001976	1	41999	100		0
6	1	1	1	6	38001296	1	2120	100		0
7	1	1	1	7	20301009	1	5000	100		0
8	1	1	1	8	38000655	1	520	100		0
9	1	1	1	9	30008117	1	5120	100		0
10	1	1	1	10	30008122	1	7100	100		0
11	1	1	1	11	30008121	1	8120	100		0
12	1	1	1	12	30008123	1	5120	100		0
13	1	1	1	13	30008009	1	500	100		0
14	1	1	1	14	30008019	1	36999	100		0
15	1	1	1	15	30900045	1	888	100		0
16	1	1	1	16	38000951	1	20000	100		0
17	1	1	1	17	30103067	10	20000	100		0
18	1	1	1	18	30103068	1	50000	100		0
19	1	1	2	1	38001875	1	38	100		0
20	1	1	2	2	38000361	1	1000	100		0
21	1	1	2	3	38000527	1	98	100		0
22	1	1	2	4	20700063	1	2998	100		0
23	1	1	2	5	30008029	1	9999	100		0
24	1	1	2	6	38000943	1	1000	100		0
25	1	1	2	7	38000944	1	1000	100		0
26	1	1	2	8	38000379	1	5000	100		0
27	1	1	2	9	38000382	1	25000	100		0
28	1	1	2	10	30103042	1	1000	100		0
29	1	1	2	11	38000401	1	25000	100		0
30	1	1	3	1	30505908	1	2200	100		0
31	1	1	3	2	30505706	1	2200	100		0
32	1	1	3	3	30505806	1	2200	100		0
33	1	1	3	4	30505821	1	998	100		0
34	1	1	3	5	30505827	1	2200	100		0
35	1	1	3	6	30505818	1	2200	100		0
36	1	1	3	7	30505829	1	2200	100		0
37	1	1	3	8	38002049	1	2200	100		0
38	1	1	3	9	38002041	1	888	100		0
39	1	1	3	10	38002043	1	888	100		0
40	1	1	3	11	38002045	1	888	100		0
41	1	1	3	12	30505705	1	200	100		0
42	1	1	3	13	30505805	1	200	100		0
43	1	1	4	1	20800045	1	2600	100		0
44	1	1	4	2	20800037	1	1800	100		0
45	1	1	4	3	30503115	1	1280	100		0
46	1	1	4	4	30503118	1	200	100		0
47	1	1	4	5	30503120	1	1000	100		0
48	1	1	4	6	30503121	1	10000	100		0
49	1	1	4	7	20310113	1	10000	100		0
50	1	1	4	8	20310020	1	5000	100		0
51	1	1	5	1	10156001	1	2000	100		0
52	1	1	5	2	10156002	1	2000	100		0
53	1	1	5	3	30700233	1	200	100		0
54	1	1	5	4	30700243	1	200	100		0
55	1	1	5	5	20310159	1	200	100		0
56	1	1	5	6	30700213	1	200	100		0
